,layer,wordID,meaningID,target,baseS,SignS,error,meanError,standardError,Model,diff_base_emb,diff_base_human
0,0,0,1,raya,0.2888266146183014,0.2888266146183014,0.0,0.0,0.0,GPT-2 Word Level,0.0,0.128014842300557
1,1,0,1,raya,0.0334662199020385,0.0438322648406028,0.0103660449385643,0.0103036435172358,0.0018069560245377,GPT-2 Word Level,0.0103660449385643,0.128014842300557
2,2,0,1,raya,-0.0297163221985101,-0.0071571334265172,0.0225591887719929,0.0148038641510016,0.001667435973863,GPT-2 Word Level,0.0225591887719929,0.128014842300557
3,3,0,1,raya,-0.048234723508358,-0.0275559425354003,0.0206787809729576,0.0129144616137714,0.0014064070753593,GPT-2 Word Level,0.0206787809729577,0.128014842300557
4,4,0,1,raya,-0.0656712055206298,-0.0538334064185619,0.0118377991020679,0.0077872386479631,0.0013613419001106,GPT-2 Word Level,0.011837799102067899,0.128014842300557
5,5,0,1,raya,-0.0719494596123695,-0.0496297180652618,0.0223197415471076,0.0058991063752786,0.0013951929845586,GPT-2 Word Level,0.022319741547107697,0.128014842300557
6,6,0,1,raya,-0.0768319964408874,-0.0548290312290191,0.0220029652118682,0.0051688835708464,0.0014896955743026,GPT-2 Word Level,0.022002965211868293,0.128014842300557
7,7,0,1,raya,-0.0760012716054916,-0.051480945199728,0.0245203264057636,0.0109092178407739,0.0018253756215414,GPT-2 Word Level,0.0245203264057636,0.128014842300557
8,8,0,1,raya,-0.0800131931900978,-0.0288265831768512,0.0511866100132465,0.0199264658000716,0.0022408450419281,GPT-2 Word Level,0.05118661001324659,0.128014842300557
9,9,0,1,raya,-0.0979535579681396,-0.0243450365960598,0.0736085213720798,0.0260760635781557,0.0027748053877244,GPT-2 Word Level,0.07360852137207981,0.128014842300557
10,10,0,1,raya,-0.0955021828413009,-0.0024070935323834,0.0930950893089175,0.0339735073106799,0.0033599451547234,GPT-2 Word Level,0.0930950893089175,0.128014842300557
